"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 17 16:17:35 AEST 2022","Fri Jun 17 16:17:35 AEST 2022","638","","","","","","CreateRecord - Bad Request",""
"passed","Fri Jun 17 15:57:38 AEST 2022","Fri Jun 17 15:57:38 AEST 2022","606","","","","","","CreateRecord - Optional",""
"passed","Fri Jun 17 15:57:46 AEST 2022","Fri Jun 17 15:57:49 AEST 2022","2364","","","","","","E2E Scenario 2",""
"passed","Fri Jun 17 16:17:43 AEST 2022","Fri Jun 17 16:17:45 AEST 2022","2042","","","","","","E2E Scenario 2",""
"passed","Fri Jun 17 15:57:38 AEST 2022","Fri Jun 17 15:57:39 AEST 2022","612","","","","","","CreateRecord - Bad Request",""
"passed","Fri Jun 17 16:17:39 AEST 2022","Fri Jun 17 16:17:40 AEST 2022","616","","","","","","DeleteRecord - Alphanumeric",""
"passed","Fri Jun 17 15:57:41 AEST 2022","Fri Jun 17 15:57:42 AEST 2022","713","","","","","","UpdateRecord - Bad Request",""
"passed","Fri Jun 17 16:17:37 AEST 2022","Fri Jun 17 16:17:37 AEST 2022","711","","","","","","UpdateRecord",""
"passed","Fri Jun 17 15:57:42 AEST 2022","Fri Jun 17 15:57:42 AEST 2022","718","","","","","","UpdateRecord - Partial",""
"passed","Fri Jun 17 16:17:32 AEST 2022","Fri Jun 17 16:17:34 AEST 2022","1752","","","","","","CreateRecord",""
"passed","Fri Jun 17 15:57:42 AEST 2022","Fri Jun 17 15:57:43 AEST 2022","706","","","","","","DeleteRecord",""
"passed","Fri Jun 17 15:57:43 AEST 2022","Fri Jun 17 15:57:44 AEST 2022","708","","","","","","DeleteRecord - Alphanumeric",""
"passed","Fri Jun 17 16:17:35 AEST 2022","Fri Jun 17 16:17:36 AEST 2022","597","","","","","","RetrieveRecord - List All",""
"passed","Fri Jun 17 16:17:35 AEST 2022","Fri Jun 17 16:17:35 AEST 2022","84","","","","","","RetrieveRecord",""
"passed","Fri Jun 17 16:17:36 AEST 2022","Fri Jun 17 16:17:37 AEST 2022","610","","","","","","RetrieveRecord - Not Found",""
"passed","Fri Jun 17 16:17:38 AEST 2022","Fri Jun 17 16:17:39 AEST 2022","673","","","","","","UpdateRecord - Partial",""
"passed","Fri Jun 17 15:57:40 AEST 2022","Fri Jun 17 15:57:41 AEST 2022","609","","","","","","UpdateRecord",""
"passed","Fri Jun 17 16:17:41 AEST 2022","Fri Jun 17 16:17:43 AEST 2022","2043","","","","","","E2E Scenario 1",""
"passed","Fri Jun 17 16:17:37 AEST 2022","Fri Jun 17 16:17:38 AEST 2022","660","","","","","","UpdateRecord - Bad Request",""
"passed","Fri Jun 17 16:17:34 AEST 2022","Fri Jun 17 16:17:35 AEST 2022","602","","","","","","CreateRecord - Optional",""
"passed","Fri Jun 17 15:57:36 AEST 2022","Fri Jun 17 15:57:38 AEST 2022","1839","","","","","","CreateRecord",""
"passed","Fri Jun 17 15:57:44 AEST 2022","Fri Jun 17 15:57:46 AEST 2022","1825","","","","","","E2E Scenario 1",""
"passed","Fri Jun 17 15:57:40 AEST 2022","Fri Jun 17 15:57:40 AEST 2022","714","","","","","","RetrieveRecord - Not Found",""
"passed","Fri Jun 17 15:57:44 AEST 2022","Fri Jun 17 15:57:44 AEST 2022","610","","","","","","DeleteRecord - All",""
"passed","Fri Jun 17 16:17:39 AEST 2022","Fri Jun 17 16:17:39 AEST 2022","804","","","","","","DeleteRecord",""
"passed","Fri Jun 17 15:57:39 AEST 2022","Fri Jun 17 15:57:39 AEST 2022","64","","","","","","RetrieveRecord",""
"passed","Fri Jun 17 16:17:40 AEST 2022","Fri Jun 17 16:17:41 AEST 2022","709","","","","","","DeleteRecord - All",""
"passed","Fri Jun 17 15:57:39 AEST 2022","Fri Jun 17 15:57:40 AEST 2022","644","","","","","","RetrieveRecord - List All",""
